,,,,,,,,,,,,,,,,,,
,,Niveles de inventario(Kanban) - AFL Ascend Ensamble,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Productos:,Linea 1:,Linea 2:,,,,,Linea 3,Linea 4,,Fecha:,,,,,,
,,"1RU, 2RU y 4RU",1RU,4RU,,,,,4RU,,,2026-05-23 00:00:00,,,,,,
,,,,,,,,,,,,,,,,,,
,,Numero de parte:,Inventario en supermercado:,,Indicador:,,,,Fecha y hora de conteo:,Horas proyectadas:,Responsable:,Fecha de resurtimiento:,Hora de resurtimiento:,Comentarios:,Cantidad por producto:,,,Consumo por hora:
,,,,,,,,,,,,,,,1RU,2RU,4RU,
,,A FM003939,80,,1.6326530612244898,1.6326530612244898,1.6326530612244898,,2026-05-05 10:47:35,1.6326530612244898,Warehouse,,,,1,2,4,49
,,A FM003940,200,,4.081632653061225,4.081632653061225,4.081632653061225,,2026-05-05 10:47:53,4.081632653061225,Warehouse,,,,1,2,4,49
,,A B841 5906 ADH,2000,,52.63157894736842,52.63157894736842,52.63157894736842,,2025-04-02 14:33:16,52.63157894736842,Warehouse,,,,2,2,2,38
,,A FM004716,1000,,52.63157894736842,52.63157894736842,52.63157894736842,,2025-04-02 14:36:08,52.63157894736842,Warehouse,,,,1,1,1,19
,,A FM004728,10,,0.2631578947368421,0.2631578947368421,0.2631578947368421,,2025-05-14 16:33:46,0.2631578947368421,Production,2025-04-02 00:00:00,18:00:00,,2,2,2,38
,,H ASCENDSCREWKIT,1000,,26.31578947368421,26.31578947368421,26.31578947368421,,2025-05-14 16:33:49,26.31578947368421,Warehouse,,,,2,2,2,38
,,H CM-C406,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Warehouse,,,,1,1,1,19
,,H HW000450,800,,21.05263157894737,21.05263157894737,21.05263157894737,,2025-01-09 14:31:54,21.05263157894737,Warehouse,,,,2,2,2,38
,,HW000438,5000,,131.57894736842104,131.57894736842104,131.57894736842104,,2025-05-14 16:33:34,131.57894736842104,Press,,,,2,2,2,38
,,HW000439,500,,13.157894736842104,13.157894736842104,13.157894736842104,,2025-05-14 16:33:35,13.157894736842104,Press,,,,2,2,2,38
,,P S-10925,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Warehouse,,,,1,1,1,19
,,A CS015701,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Warehouse,,,,1,1,1,19
,,H CM-1-1B101-1B,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Warehouse,,,,1,1,1,19
,,H M3 X 32MM PIN,800,,21.05263157894737,21.05263157894737,21.05263157894737,,2025-01-09 14:31:54,21.05263157894737,Warehouse,,,,2,2,2,38
,,A FM003950,8000,,10.884353741496598,10.884353741496598,10.884353741496598,,2025-01-09 15:40:22,10.884353741496598,Warehouse,,,,15,30,60,735
,,A FM003949,8000,,54.42176870748299,54.42176870748299,54.42176870748299,,2025-01-23 16:37:21,54.42176870748299,Warehouse,,,,3,6,12,147
,,A FM003951,8000,,7.774538386783285,7.774538386783285,7.774538386783285,,2025-01-09 15:40:24,7.774538386783285,Warehouse,,,,21,42,84,1029
,,A FM003952,8000,,10.884353741496598,10.884353741496598,10.884353741496598,,2025-01-09 15:40:25,10.884353741496598,Warehouse,,,,15,30,60,735
,,A FM003953,8000,,18.140589569160998,18.140589569160998,18.140589569160998,,2025-01-09 15:40:26,18.140589569160998,Warehouse,,,,9,18,36,441
,,A FM003992,8000,,54.42176870748299,54.42176870748299,54.42176870748299,,2025-01-23 16:37:23,54.42176870748299,Warehouse,,,,3,6,12,147
,,FM004694,8000,,54.42176870748299,54.42176870748299,54.42176870748299,,2025-01-23 16:37:23,54.42176870748299,Press,,,,3,6,12,147
,,FM004725,8000,,54.42176870748299,54.42176870748299,54.42176870748299,,2025-01-23 16:37:24,54.42176870748299,Press,,,,3,6,12,147
,,ASCEND TRAY R12,8000,,54.42176870748299,54.42176870748299,54.42176870748299,,2025-01-23 16:37:25,54.42176870748299,Warehouse,,,,3,6,12,147
,,ASCEND TRAY R8,8000,,54.42176870748299,54.42176870748299,54.42176870748299,,2025-01-23 16:37:25,54.42176870748299,Warehouse,,,,3,6,12,147
,,ASCND TRY R0801,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Production,,,,1,1,1,19
,,ASCND TRY R0802,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Production,,,,1,1,1,19
,,ASCND TRY R0803,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:54,42.10526315789474,Production,,,,1,1,1,19
,,ASCND TRY R0804,800,,80,80.0,80.0,,2025-01-09 14:31:54,80,Production,,,,0,1,1,10
,,ASCND TRY R0805,800,,80,80.0,80.0,,2025-01-09 14:31:54,80,Production,,,,0,1,1,10
,,ASCND TRY R0806,800,,80,80.0,80.0,,2025-01-09 14:31:54,80,Production,,,,0,1,1,10
,,ASCND TRY R0807,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
,,ASCND TRY R0808,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
,,ASCND TRY R0809,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
,,ASCND TRY R0810,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
,,ASCND TRY R0811,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
,,ASCND TRY R0812,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
,,ASCND TRY R1201,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:55,42.10526315789474,Production,,,,1,1,1,19
,,ASCND TRY R1202,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:55,42.10526315789474,Production,,,,1,1,1,19
,,ASCND TRY R1203,800,,42.10526315789474,42.10526315789474,42.10526315789474,,2025-01-09 14:31:55,42.10526315789474,Production,,,,1,1,1,19
,,ASCND TRY R1204,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,1,1,10
,,ASCND TRY R1205,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,1,1,10
,,ASCND TRY R1206,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,1,1,10
,,ASCND TRY R1207,800,,80,80.0,80.0,,2025-01-09 14:31:55,80,Production,,,,0,0,1,10
